INFO  - 2014-09-16 00:29:14.048; org.apache.solr.core.RequestHandlers; created /debug/dump: solr.DumpRequestHandler
INFO  - 2014-09-16 00:29:14.061; org.apache.solr.core.RequestHandlers; created /replication: solr.ReplicationHandler
INFO  - 2014-09-16 00:29:14.062; org.apache.solr.core.RequestHandlers; adding lazy requestHandler: solr.SearchHandler
INFO  - 2014-09-16 00:29:14.062; org.apache.solr.core.RequestHandlers; created /spell: solr.SearchHandler
INFO  - 2014-09-16 00:29:14.063; org.apache.solr.core.RequestHandlers; adding lazy requestHandler: solr.SearchHandler
INFO  - 2014-09-16 00:29:14.064; org.apache.solr.core.RequestHandlers; created /tvrh: solr.SearchHandler
INFO  - 2014-09-16 00:29:14.064; org.apache.solr.core.RequestHandlers; adding lazy requestHandler: org.apache.solr.handler.js.JavaScriptRequestHandler
INFO  - 2014-09-16 00:29:14.064; org.apache.solr.core.RequestHandlers; created /js: org.apache.solr.handler.js.JavaScriptRequestHandler
INFO  - 2014-09-16 00:29:14.065; org.apache.solr.core.RequestHandlers; adding lazy requestHandler: solr.SearchHandler
INFO  - 2014-09-16 00:29:14.065; org.apache.solr.core.RequestHandlers; created /terms: solr.SearchHandler
INFO  - 2014-09-16 00:29:14.066; org.apache.solr.core.RequestHandlers; adding lazy requestHandler: solr.SearchHandler
INFO  - 2014-09-16 00:29:14.067; org.apache.solr.core.RequestHandlers; created /elevate: solr.SearchHandler
INFO  - 2014-09-16 00:29:14.095; org.apache.solr.handler.loader.XMLLoader; xsltCacheLifetimeSeconds=60
INFO  - 2014-09-16 00:29:14.098; org.apache.solr.handler.loader.XMLLoader; xsltCacheLifetimeSeconds=60
INFO  - 2014-09-16 00:29:14.099; org.apache.solr.handler.loader.XMLLoader; xsltCacheLifetimeSeconds=60
INFO  - 2014-09-16 00:29:14.122; org.apache.solr.update.CommitTracker; Hard AutoCommit: if uncommited for 15000ms; 
INFO  - 2014-09-16 00:29:14.123; org.apache.solr.update.CommitTracker; Soft AutoCommit: disabled
INFO  - 2014-09-16 00:29:14.134; org.apache.solr.core.SolrDeletionPolicy; SolrDeletionPolicy.onInit: commits: num=1
	commit{dir=NRTCachingDirectory(org.apache.lucene.store.MMapDirectory@C:\project\solr_home\data\index lockFactory=org.apache.lucene.store.NativeFSLockFactory@6c4aced8; maxCacheMB=48.0 maxMergeSizeMB=4.0),segFN=segments_1,generation=1}
INFO  - 2014-09-16 00:29:14.135; org.apache.solr.core.SolrDeletionPolicy; newest commit generation = 1
INFO  - 2014-09-16 00:29:14.144; org.apache.solr.search.SolrIndexSearcher; Opening Searcher@6fc8b992 main
INFO  - 2014-09-16 00:29:14.153; org.apache.solr.handler.component.SpellCheckComponent; Initializing spell checkers
INFO  - 2014-09-16 00:29:14.164; org.apache.solr.spelling.DirectSolrSpellChecker; init: {name=default,field=text,classname=solr.DirectSolrSpellChecker,distanceMeasure=internal,accuracy=0.5,maxEdits=2,minPrefix=1,maxInspections=5,minQueryLength=4,maxQueryFrequency=0.01}
INFO  - 2014-09-16 00:29:14.172; org.apache.solr.handler.component.SpellCheckComponent; No queryConverter defined, using default converter
INFO  - 2014-09-16 00:29:14.176; org.apache.solr.handler.component.QueryElevationComponent; Loading QueryElevation from: C:\project\solr_home\collection1\conf\elevate.xml
INFO  - 2014-09-16 00:29:18.768; org.apache.solr.handler.ReplicationHandler; Commits will be reserved for  10000
