INFO  - 2014-09-27 21:28:03.515; org.apache.solr.handler.loader.XMLLoader; xsltCacheLifetimeSeconds=60
INFO  - 2014-09-27 21:28:03.518; org.apache.solr.handler.loader.XMLLoader; xsltCacheLifetimeSeconds=60
INFO  - 2014-09-27 21:28:03.519; org.apache.solr.handler.loader.XMLLoader; xsltCacheLifetimeSeconds=60
INFO  - 2014-09-27 21:28:03.535; org.apache.solr.update.CommitTracker; Hard AutoCommit: if uncommited for 15000ms; 
INFO  - 2014-09-27 21:28:03.536; org.apache.solr.update.CommitTracker; Soft AutoCommit: disabled
INFO  - 2014-09-27 21:28:03.545; org.apache.solr.core.SolrDeletionPolicy; SolrDeletionPolicy.onInit: commits: num=1
	commit{dir=NRTCachingDirectory(org.apache.lucene.store.MMapDirectory@C:\project\solr-4.5.1\example\solr\collection1\data\index lockFactory=org.apache.lucene.store.NativeFSLockFactory@19eeb098; maxCacheMB=48.0 maxMergeSizeMB=4.0),segFN=segments_1,generation=1}
INFO  - 2014-09-27 21:28:03.545; org.apache.solr.core.SolrDeletionPolicy; newest commit generation = 1
INFO  - 2014-09-27 21:28:03.551; org.apache.solr.search.SolrIndexSearcher; Opening Searcher@66b66b36 main
INFO  - 2014-09-27 21:28:03.557; org.apache.solr.handler.component.SpellCheckComponent; Initializing spell checkers
INFO  - 2014-09-27 21:28:03.563; org.apache.solr.spelling.DirectSolrSpellChecker; init: {name=default,field=text,classname=solr.DirectSolrSpellChecker,distanceMeasure=internal,accuracy=0.5,maxEdits=2,minPrefix=1,maxInspections=5,minQueryLength=4,maxQueryFrequency=0.01}
INFO  - 2014-09-27 21:28:03.572; org.apache.solr.handler.component.SpellCheckComponent; No queryConverter defined, using default converter
INFO  - 2014-09-27 21:28:03.575; org.apache.solr.handler.component.QueryElevationComponent; Loading QueryElevation from: C:\project\solr-4.5.1\example\solr\collection1\conf\elevate.xml
INFO  - 2014-09-27 21:28:08.612; org.apache.solr.handler.ReplicationHandler; Commits will be reserved for  10000
INFO  - 2014-09-27 21:28:08.614; org.apache.solr.core.QuerySenderListener; QuerySenderListener sending requests to Searcher@66b66b36 main{StandardDirectoryReader(segments_1:1:nrt)}
INFO  - 2014-09-27 21:28:08.616; org.apache.solr.core.CoreContainer; registering core: collection1
INFO  - 2014-09-27 21:28:08.623; org.apache.solr.servlet.SolrDispatchFilter; user.dir=C:\project\solr-4.5.1\example
INFO  - 2014-09-27 21:28:08.624; org.apache.solr.servlet.SolrDispatchFilter; SolrDispatchFilter.init() done
INFO  - 2014-09-27 21:28:08.706; org.apache.solr.core.SolrCore; [collection1] webapp=null path=null params={event=firstSearcher&q=static+firstSearcher+warming+in+solrconfig.xml&distrib=false} hits=0 status=0 QTime=85 
INFO  - 2014-09-27 21:28:08.707; org.apache.solr.core.QuerySenderListener; QuerySenderListener done.
INFO  - 2014-09-27 21:28:08.707; org.apache.solr.handler.component.SpellCheckComponent$SpellCheckerListener; Loading spell index for spellchecker: default
INFO  - 2014-09-27 21:28:08.707; org.apache.solr.handler.component.SpellCheckComponent$SpellCheckerListener; Loading spell index for spellchecker: wordbreak
INFO  - 2014-09-27 21:28:08.708; org.apache.solr.core.SolrCore; [collection1] Registered new searcher Searcher@66b66b36 main{StandardDirectoryReader(segments_1:1:nrt)}
INFO  - 2014-09-27 21:28:08.709; org.eclipse.jetty.server.AbstractConnector; Started SocketConnector@0.0.0.0:8983
INFO  - 2014-09-27 21:36:43.726; org.eclipse.jetty.server.Server; jetty-8.1.10.v20130312
INFO  - 2014-09-27 21:36:43.755; org.eclipse.jetty.deploy.providers.ScanningAppProvider; Deployment monitor C:\project\solr-4.5.1\example\contexts at interval 0
INFO  - 2014-09-27 21:36:43.764; org.eclipse.jetty.deploy.DeploymentManager; Deployable added: C:\project\solr-4.5.1\example\contexts\solr-jetty-context.xml
INFO  - 2014-09-27 21:36:45.055; org.eclipse.jetty.webapp.StandardDescriptorProcessor; NO JSP Support for /solr, did not find org.apache.jasper.servlet.JspServlet
INFO  - 2014-09-27 21:36:45.109; org.apache.solr.servlet.SolrDispatchFilter; SolrDispatchFilter.init()
INFO  - 2014-09-27 21:36:45.135; org.apache.solr.core.SolrResourceLoader; JNDI not configured for solr (NoInitialContextEx)
INFO  - 2014-09-27 21:36:45.136; org.apache.solr.core.SolrResourceLoader; solr home defaulted to 'solr/' (could not find system property or JNDI)
INFO  - 2014-09-27 21:36:45.136; org.apache.solr.core.SolrResourceLoader; new SolrResourceLoader for directory: 'solr/'
INFO  - 2014-09-27 21:36:45.281; org.apache.solr.core.ConfigSolr; Loading container configuration from C:\project\solr-4.5.1\example\solr\solr.xml
INFO  - 2014-09-27 21:36:45.412; org.apache.solr.core.ConfigSolrXml; Config-defined core root directory: 
INFO  - 2014-09-27 21:36:45.421; org.apache.solr.core.CoreContainer; New CoreContainer 1686273542
INFO  - 2014-09-27 21:36:45.421; org.apache.solr.core.CoreContainer; Loading cores into CoreContainer [instanceDir=solr/]
INFO  - 2014-09-27 21:36:45.437; org.apache.solr.handler.component.HttpShardHandlerFactory; Setting socketTimeout to: 0
INFO  - 2014-09-27 21:36:45.438; org.apache.solr.handler.component.HttpShardHandlerFactory; Setting urlScheme to: http://
INFO  - 2014-09-27 21:36:45.438; org.apache.solr.handler.component.HttpShardHandlerFactory; Setting connTimeout to: 0
INFO  - 2014-09-27 21:36:45.439; org.apache.solr.handler.component.HttpShardHandlerFactory; Setting maxConnectionsPerHost to: 20
INFO  - 2014-09-27 21:36:45.442; org.apache.solr.handler.component.HttpShardHandlerFactory; Setting corePoolSize to: 0
INFO  - 2014-09-27 21:36:45.442; org.apache.solr.handler.component.HttpShardHandlerFactory; Setting maximumPoolSize to: 2147483647
INFO  - 2014-09-27 21:36:45.442; org.apache.solr.handler.component.HttpShardHandlerFactory; Setting maxThreadIdleTime to: 5
INFO  - 2014-09-27 21:36:45.443; org.apache.solr.handler.component.HttpShardHandlerFactory; Setting sizeOfQueue to: -1
INFO  - 2014-09-27 21:36:45.443; org.apache.solr.handler.component.HttpShardHandlerFactory; Setting fairnessPolicy to: false
INFO  - 2014-09-27 21:36:45.451; org.apache.solr.client.solrj.impl.HttpClientUtil; Creating new http client, config:maxConnectionsPerHost=20&maxConnections=10000&socketTimeout=0&connTimeout=0&retry=false
INFO  - 2014-09-27 21:36:45.597; org.apache.solr.logging.LogWatcher; SLF4J impl is org.slf4j.impl.Log4jLoggerFactory
INFO  - 2014-09-27 21:36:45.598; org.apache.solr.logging.LogWatcher; Registering Log Listener [Log4j (org.slf4j.impl.Log4jLoggerFactory)]
INFO  - 2014-09-27 21:36:50.164; org.apache.solr.core.CorePropertiesLocator; Looking for core definitions underneath C:\project\solr-4.5.1\example\solr
INFO  - 2014-09-27 21:36:50.193; org.apache.solr.core.CorePropertiesLocator; Found core collection1 in C:\project\solr-4.5.1\example\solr\collection1\
INFO  - 2014-09-27 21:36:50.194; org.apache.solr.core.CorePropertiesLocator; Found 1 core definitions
INFO  - 2014-09-27 21:36:50.196; org.apache.solr.core.CoreContainer; Creating SolrCore 'collection1' using instanceDir: C:\project\solr-4.5.1\example\solr\collection1
INFO  - 2014-09-27 21:36:50.196; org.apache.solr.core.SolrResourceLoader; new SolrResourceLoader for directory: 'C:\project\solr-4.5.1\example\solr\collection1\'
INFO  - 2014-09-27 21:36:50.277; org.apache.solr.core.SolrConfig; Adding specified lib dirs to ClassLoader
INFO  - 2014-09-27 21:36:50.281; org.apache.solr.core.SolrResourceLoader; Adding 'file:/C:/project/solr-4.5.1/contrib/extraction/lib/apache-mime4j-core-0.7.2.jar' to classloader
INFO  - 2014-09-27 21:36:50.282; org.apache.solr.core.SolrResourceLoader; Adding 'file:/C:/project/solr-4.5.1/contrib/extraction/lib/apache-mime4j-dom-0.7.2.jar' to classloader
INFO  - 2014-09-27 21:36:50.282; org.apache.solr.core.SolrResourceLoader; Adding 'file:/C:/project/solr-4.5.1/contrib/extraction/lib/bcmail-jdk15-1.45.jar' to classloader
